hashtag,count
#noafd,96
#fckafd,52
#wirsindmehr,46
#afd,38
#fcknzs,34
#standwithukraine,23
#teamhabeck,23
#nrw,22
#weedmob,18
#cdu,17
#teamwissenschaft,17
#nonazis,14
#nafo,14
#spd,13
#politik,13
#freiheit,13
#bildungabersicher,12
#standwithisrael,12
#twlz,10
#habeck4kanzler,10
#nocovid,9
#teamkinderschutz,9
#covidisnotover,9
#kindertruppe,8
#teamrobert,8
#verkehrswende,8
#klimakrise,8
#effzeh,8
#bitcoin,8
#politics,8
#konservativ,7
#science,7
#energiewende,7
#bvb,7
#klimaschutz,7
#fcknazis,7
#entkriminalisierungsofort,7
#ltnrw,6
#noafdp,6
#longcovid,6
#niewiederistjetzt,6
#meinungsfreiheit,6
#slavaukraini,6
#wirtschaft,6
#nobsw,6
#fridaysforfuture,6
#yestonocovid,5
#heinerultras,5
#kinderrechte,5
#grüne,5
#bge,5
#remigration,5
#fdp,5
#mecfs,5
#teamfreiheit,5
#dielinke,5
#antifa,5
#demokratie,5
#fckptn,5
#sicherebildung,5
#ukraine,5
#pflege,5
#climatecrisis,5
#istandwithisrael,5
#cda,4
#bundestagswahl,4
#wirsindbunt,4
#dortmund,4
#diemaskebleibtauf,4
#ungeimpft,4
#climatejustice,4
#eu,4
#fcbayern,4
#niemehrcducsu,4
#sozialemarktwirtschaft,4
#münster,4
#bringthemhome,4
#mittelstand,4
#liberal,4
#teamglobukalypse,4
#klimawandel,4
#medien,4
#bochum,4
#ruhrpott,4
#frauensagennein,4
#protectthekids,4
#menschenrechte,4
#köln,4
#klimagerechtigkeit,4
#unserlandzuerst,4
#afdverbotjetzt,4
#ai,4
#gesundheit,4
#schattenfamilien,4
#socialmedia,4
#mastodon,3
#grüner,3
#maskebleibtauf,3
#staywithukraine,3
#antipro,3
